# Point-charge longitudinal RW wake function
# Source: existing freq_z, Zz_C from IW2D model
#"s / mm"	"W_parallel [V/C]"
#------------------------
1.840725692120	-2.6083958335015e+16
1.843723616700	-2.5238996125746e+16
1.846721541280	-2.4329897758003e+16
1.849719465860	-2.3351644587822e+16
1.852717390440	-2.2302756784533e+16
1.855715315020	-2.1187452357345e+16
1.858713239600	-2.0015665834133e+16
1.861711164180	-1.8800920124515e+16
1.864709088760	-1.7556864088356e+16
1.867707013340	-1.6293794867732e+16
1.870704937920	-1.5016485968102e+16
1.873702862500	-1.3724140253724e+16
1.876700787080	-1.2412474382393e+16
1.879698711660	-1.1077128569649e+16
1.882696636240	-9.7170927770925e+15
1.885694560820	-8.3368381834476e+15
1.888692485400	-6.9463403929301e+15
1.891690409980	-5.5589869784178e+15
1.894688334560	-4.1881683418778e+15
1.897686259140	-2.8438500933118e+15
1.900684183720	-1.5304278870097e+15
1.903682108300	-2.4667248549409e+14
1.906680032880	1.0122266165667e+15
1.909677957460	2.2513105946964e+15
1.912675882040	3.4724807244808e+15
1.915673806620	4.6723978507225e+15
1.918671731200	5.8424529608876e+15
1.921669655780	6.9708170467961e+15
1.924667580360	8.0457849341580e+15
1.927665504940	9.0591362172571e+15
1.930663429520	1.0008233347121e+16
1.933661354100	1.0896061944274e+16
1.936659278680	1.1729205087418e+16
1.939657203260	1.2514530778673e+16
1.942655127840	1.3255859764956e+16
1.945653052420	1.3951884286104e+16
1.948650977000	1.4596127346001e+16
1.951648901580	1.5178951657528e+16
1.954646826160	1.5690845983629e+16
1.957644750740	1.6125732102953e+16
1.960642675320	1.6483031829609e+16
1.963640599900	1.6767710312614e+16
1.966638524480	1.6988285891216e+16
1.969636449060	1.7153571991417e+16
1.972634373640	1.7269397321124e+16
1.975632298220	1.7336554569789e+16
1.978630222800	1.7350754953634e+16
1.981628147380	1.7304598100277e+16
1.984626071960	1.7190797682111e+16
1.987623996540	1.7005426186238e+16
1.990621921120	1.6749938264101e+16
1.993619845700	1.6431201288416e+16
1.996617770280	1.6059523691442e+16
1.999615694860	1.5645434917630e+16
2.002613619440	1.5196444345937e+16
2.005611544020	1.4715010656208e+16
2.008609468600	1.4198487714663e+16
2.011607393180	1.3641057059513e+16
2.014605317760	1.3036899658901e+16
2.017603242340	1.2383389609866e+16
2.020601166920	1.1683088170550e+16
2.023599091500	1.0943778131092e+16
2.026597016080	1.0176528521432e+16
2.029594940660	9.3925310868578e+15
2.032592865240	8.5999162302721e+15
2.035590789820	7.8017602587233e+15
2.038588714400	6.9960376122819e+15
2.041586638980	6.1775274521651e+15
2.044584563560	5.3409383054370e+15
2.047582488140	4.4840518410543e+15
2.050580412720	3.6096829105060e+15
2.053578337300	2.7257078793977e+15
2.056576261880	1.8431521503264e+15
2.059574186460	9.7306798069735e+14
2.062572111040	1.2339290707368e+14
2.065570035620	-7.0301701660819e+14
2.068567960200	-1.5084365159296e+15
2.071565884780	-2.2983937060123e+15
2.074563809360	-3.0785915113023e+15
2.077561733940	-3.8518091465218e+15
2.080559658520	-4.6159686736937e+15
2.083557583100	-5.3641033090543e+15
2.086555507680	-6.0862360535481e+15
2.089553432260	-6.7724479310554e+15
2.092551356840	-7.4159628702246e+15
2.095549281420	-8.0150728201125e+15
2.098547206000	-8.5731721199846e+15
2.101545130580	-9.0968932879997e+15
2.104543055160	-9.5930606231170e+15
2.107540979740	-1.0065627045942e+16
2.110538904320	-1.0513762886382e+16
2.113536828900	-1.0931822805395e+16
2.116534753480	-1.1311198711954e+16
2.119532678060	-1.1643347144321e+16
2.122530602640	-1.1922833528713e+16
2.125528527220	-1.2149232407825e+16
2.128526451800	-1.2327162214867e+16
2.131524376380	-1.2464446625289e+16
2.134522300960	-1.2569109070933e+16
2.137520225540	-1.2646350086826e+16
2.140518150120	-1.2696660490501e+16
2.143516074700	-1.2715786861246e+16
2.146513999280	-1.2696557060130e+16
2.149511923860	-1.2631863656891e+16
2.152509848440	-1.2517662878083e+16
2.155507773020	-1.2354843289084e+16
2.158505697600	-1.2149252048005e+16
2.161503622180	-1.1909870724552e+16
2.164501546760	-1.1645838126781e+16
2.167499471340	-1.1363455300894e+16
2.170497395920	-1.1064311645716e+16
2.173495320500	-1.0745240615521e+16
2.176493245080	-1.0400114064599e+16
2.179491169660	-1.0022783323593e+16
2.182489094240	-9.6100398720753e+15
2.185487018820	-9.1634642158327e+15
2.188484943400	-8.6894587410570e+15
2.191482867980	-8.1974548439977e+15
2.194480792560	-7.6969809624730e+15
2.197478717140	-7.1947107392288e+15
