# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 6.000000e+00 mm
5.110000e+00 1.801301e+00 4.620097e+00
5.120000e+00 1.797389e+00 4.616725e+00
5.130000e+00 1.793404e+00 4.613491e+00
5.140000e+00 1.789349e+00 4.610397e+00
5.150000e+00 1.785231e+00 4.607446e+00
5.160000e+00 1.781053e+00 4.604642e+00
5.170000e+00 1.776820e+00 4.601985e+00
5.180000e+00 1.772537e+00 4.599479e+00
5.190000e+00 1.768209e+00 4.597125e+00
5.200000e+00 1.763842e+00 4.594924e+00
5.210000e+00 1.759439e+00 4.592880e+00
5.220000e+00 1.755006e+00 4.590992e+00
5.230000e+00 1.750549e+00 4.589263e+00
5.240000e+00 1.746072e+00 4.587693e+00
5.250000e+00 1.741581e+00 4.586284e+00
5.260000e+00 1.737082e+00 4.585036e+00
5.270000e+00 1.732579e+00 4.583950e+00
5.280000e+00 1.728079e+00 4.583026e+00
5.290000e+00 1.723586e+00 4.582264e+00
5.300000e+00 1.719107e+00 4.581665e+00
5.310000e+00 1.714646e+00 4.581227e+00
5.320000e+00 1.710209e+00 4.580952e+00
5.330000e+00 1.705801e+00 4.580837e+00
5.340000e+00 1.701429e+00 4.580883e+00
5.350000e+00 1.697098e+00 4.581088e+00
5.360000e+00 1.692812e+00 4.581451e+00
5.370000e+00 1.688578e+00 4.581972e+00
5.380000e+00 1.684402e+00 4.582647e+00
5.390000e+00 1.680287e+00 4.583476e+00
5.400000e+00 1.676240e+00 4.584456e+00
5.410000e+00 1.672266e+00 4.585586e+00
5.420000e+00 1.668370e+00 4.586862e+00
5.430000e+00 1.664558e+00 4.588283e+00
5.440000e+00 1.660833e+00 4.589846e+00
5.450000e+00 1.657202e+00 4.591547e+00
5.460000e+00 1.653669e+00 4.593384e+00
5.470000e+00 1.650239e+00 4.595354e+00
5.480000e+00 1.646917e+00 4.597452e+00
5.490000e+00 1.643707e+00 4.599675e+00
5.500000e+00 1.640613e+00 4.602020e+00
5.510000e+00 1.637641e+00 4.604482e+00
5.520000e+00 1.634794e+00 4.607057e+00
5.530000e+00 1.632075e+00 4.609741e+00
5.540000e+00 1.629490e+00 4.612530e+00
5.550000e+00 1.627042e+00 4.615418e+00
5.560000e+00 1.624734e+00 4.618401e+00
5.570000e+00 1.622570e+00 4.621474e+00
5.580000e+00 1.620554e+00 4.624631e+00
5.590000e+00 1.618687e+00 4.627869e+00
5.600000e+00 1.616974e+00 4.631180e+00
5.610000e+00 1.615417e+00 4.634561e+00
5.620000e+00 1.614018e+00 4.638004e+00
5.630000e+00 1.612780e+00 4.641506e+00
5.640000e+00 1.611704e+00 4.645058e+00
5.650000e+00 1.610794e+00 4.648657e+00
5.660000e+00 1.610050e+00 4.652296e+00
